P_max,Omega_1,Omega_2,Mu,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
365,0.0833540158536176,12.335116368848768,9.997863338144043,0.1546485339076763,5.0,-3.84,-1.6,0.0,466.1191942691803
477,0.08426011759255836,12.1957716243522,9.825873948953017,0.15527244608473278,5.0,-3.84,-1.44,0.0,402.56604170799255
578,0.08515315852599763,12.055420842511829,9.658563208813304,0.1558626998120149,5.0,-3.84,-1.2799999999999998,0.0,363.3865261077881
683,0.08603077282202627,11.895347194390784,9.494311372441619,0.1564143423035688,5.0,-3.84,-1.12,0.0,386.76776027679443
87,0.08688994933822343,11.750041357731078,9.349104387888403,0.1567041834205549,5.0,-3.84,-0.96,0.0,473.98521065711975
175,0.08772768565946668,11.612160923953702,9.208752315739195,0.1569676935069933,5.0,-3.84,-0.7999999999999998,0.0,334.66380739212036
268,0.08854144185925364,11.462579050891858,9.058620150033857,0.1574252408133931,5.0,-3.84,-0.6400000000000001,0.0,347.9507083892822
350,0.08932798159097778,11.313306485610806,8.937797119329765,0.15738052130709618,5.0,-3.84,-0.48,0.0,369.1330375671387
449,0.09008459756737254,11.156580760958505,8.807405840756672,0.15752493094676834,5.0,-3.84,-0.31999999999999984,0.0,359.08081793785095
538,0.09080813593290732,11.006490790508657,8.693658381040462,0.15741271086153985,5.0,-3.84,-0.16000000000000014,0.0,320.5828742980957
628,0.09149535872911878,10.851122514739277,8.582543563976873,0.1572577379360369,5.0,-3.84,0.0,0.0,334.1607029438019
76,0.09214403569322877,10.694828969551729,8.473993995705335,0.1570473016380765,5.0,-3.84,0.16000000000000014,0.0,401.2299497127533
150,0.09275097165070079,10.537634433906339,8.380916479861913,0.1566055115796578,5.0,-3.84,0.3200000000000003,0.0,332.65389251708984
231,0.09331359775082702,10.377674220782875,8.278522161493374,0.1563305456207799,5.0,-3.84,0.4800000000000004,0.0,297.8128488063812
306,0.09382931180984211,10.221248691130693,8.201557397969788,0.15557557561056212,5.0,-3.84,0.6399999999999997,0.0,319.5884304046631
403,0.09429586793303324,10.06640109009813,8.12725179467815,0.1547937361600329,5.0,-3.84,0.7999999999999998,0.0,343.6119463443756
489,0.09471117177690466,9.90724632085514,8.054165975939403,0.15396281737911582,5.0,-3.84,0.96,0.0,307.8037819862366
588,0.09507287231237897,9.742453169610222,7.982189772056264,0.15308217874425048,5.0,-3.84,1.12,0.0,358.89765763282776
23,0.09537905331773569,9.596497093712191,7.926418267444712,0.15200682098156448,5.0,-3.84,1.2800000000000002,0.0,318.93351006507874
106,0.09562841581111865,9.443622172383346,7.8711259083712095,0.15088193852770582,5.0,-3.84,1.4400000000000004,0.0,330.1246838569641
203,0.09581900856632973,9.291206121484432,7.817725606785851,0.1497305916145787,5.0,-3.84,1.6000000000000005,0.0,335.7789008617401
301,0.09594957295390161,9.146336248308833,7.777928509374295,0.14836481729742007,5.0,-3.84,1.7599999999999998,0.0,346.8447663784027
382,0.0960186764017569,9.00304393943211,7.740179516659081,0.14698627605742365,5.0,-3.84,1.92,0.0,316.3024983406067
467,0.09602575979365852,8.862794696293594,7.70505221175468,0.14560236785241354,5.0,-3.84,2.08,0.0,304.07542514801025
547,0.09596942184744424,8.730736486140131,7.683601134630879,0.14402721142327296,5.0,-3.84,2.24,0.0,302.9424800872803
22,0.0958490965720149,8.612068644884094,7.668151072690641,0.1425131524240122,5.0,-3.84,2.4000000000000004,0.0,318.5290207862854
114,0.09566428563287349,8.481727661968698,7.651119045552177,0.14093922196999692,5.0,-3.84,2.5600000000000005,0.0,341.18006896972656
195,0.09541468279777496,8.371516498867503,7.652006177376753,0.1392589041535866,5.0,-3.84,2.7199999999999998,0.0,291.9402451515198
293,0.09510005314233282,8.268740047527755,7.658013698158653,0.13763278731835538,5.0,-3.84,2.88,0.0,349.34903955459595
