P_max,Omega_1,Omega_2,Mu,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
167,0.052067185994247464,6.410650297505962,4.323476727273723,0.431885459699061,0.5,-3.84,1.4400000000000004,0.0,433.44466400146484
296,0.0514003321601868,6.4106503041171194,4.463700103807412,0.4157960735148193,0.5,-3.84,1.6000000000000005,0.0,540.0732800960541
409,0.050679043185391626,6.410650307227673,4.600997946387032,0.4018916910375332,0.5,-3.84,1.7599999999999998,0.0,469.99735498428345
543,0.04991368647866992,6.410650300578327,4.749788837246717,0.3884927276197081,0.5,-3.84,1.92,0.0,540.73455286026
670,0.049113305386592386,6.410650305530373,4.9022619178859035,0.3763238183371834,0.5,-3.84,2.08,0.0,493.2804763317108
800,0.04828583432022518,6.410650290429787,5.059022838030977,0.3654384438899875,0.5,-3.84,2.24,0.0,490.9176676273346
99,0.04743779174925686,6.410650304613201,5.224120320119139,0.35474613260247473,0.5,-3.84,2.4000000000000004,1.0,592.6505472660065
205,0.04657489381379608,6.410650302250361,5.393423487311411,0.3452332581047882,0.5,-3.84,2.5600000000000005,0.0,433.6433193683624
324,0.04570235266746923,6.410650287924986,5.564743159364448,0.33679731342250474,0.5,-3.84,2.7199999999999998,0.0,523.7904481887817
451,0.04482444379770075,6.410650306918131,5.737829703387488,0.3294009850913967,0.5,-3.84,2.88,0.0,522.113002538681
574,0.04394490692062549,6.410650302702809,5.921576327304976,0.3222163060638439,0.5,-3.84,3.04,0.0,498.9526093006134
697,0.043067725699964234,6.410650300941658,6.106894057291064,0.31601929913194593,0.5,-3.84,3.2,0.0,467.3794791698456
831,0.04219568653947671,6.410650305258619,6.302788959143255,0.3099776120724903,0.5,-3.84,3.3600000000000003,0.0,491.2733385562897
96,0.04133141285259672,6.410650283268355,6.500023007105578,0.30490274763824066,0.5,-3.84,3.5200000000000005,0.0,577.3066623210907
215,0.040477293357197935,6.410650305560946,6.707219908040253,0.29992726206751963,0.5,-3.84,3.6799999999999997,0.0,492.4264006614685
327,0.03963527863980206,6.410650305766264,6.915830661025293,0.29589373412940445,0.5,-3.84,3.84,0.0,487.2557165622711
442,0.03880721833875529,6.410650204009929,7.131897710395366,0.29189393976173883,0.5,-3.84,4.0,0.0,467.7471213340759
