P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
20,0.0862475595283996,11.146453993300362,9.242644039751646,0.1557005737475923,5.0,-4.0,-0.7999999999999998,0.0,205.2036137580872
21,0.0871023291464714,11.146453980980532,9.116105251075814,0.1560095397119202,5.0,-4.0,-0.6400000000000001,0.0,227.0023820400238
22,0.0879135539430171,11.146453950398556,8.994366843321647,0.1563292242564909,5.0,-4.0,-0.48,0.0,155.7499659061432
23,0.088679954115892,11.146453859825913,8.877369196649148,0.1566226286333835,5.0,-4.0,-0.3199999999999998,0.0,140.01084899902344
24,0.0894148198829322,11.146453994060876,8.780542023113103,0.1566832130996123,5.0,-4.0,-0.1600000000000001,0.0,119.13627934455872
25,0.0900103480930239,11.015216805720035,8.658558135069164,0.1566469807269392,5.0,-4.0,0.0,0.0,149.8717384338379
26,0.09071761624997,11.110543417822823,8.592619329833521,0.1564834829576538,5.0,-4.0,0.1600000000000001,0.0,173.79098391532898
27,0.0912500022728109,10.468600482667178,8.42109070835917,0.1553295241876186,5.0,-4.0,0.3200000000000003,0.0,196.5135772228241
28,0.091834088234932,10.468600364290502,8.365976502799246,0.1553036779171582,5.0,-4.0,0.4800000000000004,0.0,116.6237132549286
29,0.0923560507832142,10.468599534222705,8.325851553562467,0.1546864995542172,5.0,-4.0,0.6399999999999997,0.0,137.74672508239746
30,0.0928145653022093,10.363670354613063,8.249467281365769,0.1542729716116896,5.0,-4.0,0.7999999999999998,0.0,110.38512182235718
31,0.0932221430803166,10.251949333993489,8.197294368285768,0.1533848063869584,5.0,-4.0,0.96,0.0,166.9982714653015
32,0.0935640639394307,10.251949303833076,8.16923240027837,0.1527489063077823,5.0,-4.0,1.12,0.0,136.7775521278381
33,0.0938451253997389,9.806213484403967,7.9379299254000735,0.1510687146616071,5.0,-4.0,1.2800000000000002,0.0,92.7308795452118
34,0.0941136448236076,9.691025928288312,7.985160970612387,0.1502895552426817,5.0,-4.0,1.4400000000000004,0.0,117.8171181678772
35,0.0943078361456625,9.63092608392428,7.975114665405316,0.1490605889362941,5.0,-4.0,1.6000000000000003,0.0,171.8164713382721
36,0.0944365010701435,9.425421125626954,7.873936095982232,0.147900764562644,5.0,-4.0,1.7599999999999998,0.0,173.1103477478027
37,0.0945154805971487,9.33712212932996,7.878607778180053,0.1470345269352362,5.0,-4.0,1.92,0.0,117.98410153388976
38,0.0945336360574628,9.210288163844304,7.812865942318103,0.1471501683075785,5.0,-4.0,2.08,0.0,202.13235521316528
39,0.0944953165041385,9.198490733299256,7.918001412000178,0.1447859276790591,5.0,-4.0,2.24,0.0,138.86939406394958
40,0.0943976391182746,8.892692382737392,7.792694205307138,0.1425196171457811,5.0,-4.0,2.4000000000000004,0.0,201.99929785728452
41,0.0942060807875549,8.539847524400333,7.689717802725063,0.1402354925331677,5.0,-4.0,2.5600000000000005,0.0,201.04329657554624
42,0.0940148084738443,8.627199712278994,7.76579149331463,0.139365767533204,5.0,-4.0,2.72,0.0,209.7116959095001
43,0.0937338341134914,8.580761972375672,7.797947117100478,0.1378283392504787,5.0,-4.0,2.88,1.0,259.7687602043152
44,0.0933809336886863,8.337558839570415,7.756934233924799,0.1353441741583648,5.0,-4.0,3.04,0.0,138.83705687522888
45,0.0929797580037309,8.409866095365011,7.830233835386272,0.1348590915777022,5.0,-4.0,3.2,1.0,260.9739809036255
46,0.0925322113442888,8.337558480305013,7.887779839741279,0.1328474846231441,5.0,-4.0,3.3600000000000003,0.0,146.85834407806396
47,0.0920108089347893,8.297503132130451,7.940236296830106,0.1315126895302916,5.0,-4.0,3.5200000000000005,0.0,170.7016897201538
48,0.0914324565794657,8.297502493146474,8.022452515541339,0.1302513347515673,5.0,-4.0,3.68,0.0,134.64281058311462
49,0.0907999738218051,8.297502451231619,8.120107068519443,0.1288166367459703,5.0,-4.0,3.84,0.0,191.1282949447632
50,0.0901170153455178,8.297502404498552,8.213712016153183,0.1276488384628061,5.0,-4.0,4.0,0.0,159.31244945526123
51,0.0678474964033275,11.13883094114815,11.974769119090046,0.1458287453052694,5.0,-3.84,-4.0,0.0,134.71435022354126
52,0.0690565614175744,11.084342509209108,12.837182992266897,0.1461253075350636,5.0,-3.84,-3.84,0.0,198.14572596549988
53,0.0700086033544648,11.107973597300298,12.63989560238381,0.1460134388163116,5.0,-3.84,-3.68,0.0,119.06501340866087
54,0.0709855242735138,11.097802918849666,12.53371369457316,0.1470797408751021,5.0,-3.84,-3.52,0.0,167.82388854026794
55,0.07202911515354,11.13883217934886,12.179060828679592,0.1457515518323953,5.0,-3.84,-3.36,0.0,226.46242237091064
56,0.0730165621308499,11.13883231333168,12.08752295854077,0.146679042507952,5.0,-3.84,-3.2,0.0,153.7577564716339
57,0.0738036290924619,10.988392309185372,11.819114921498391,0.1476635027289859,5.0,-3.84,-3.04,0.0,201.53201866149905
58,0.0750083329181749,11.138832307292391,11.618810985840442,0.1479980349671115,5.0,-3.84,-2.88,0.0,186.24195313453677
59,0.0760148947234155,11.138832316709946,11.393497329286134,0.1486448165017101,5.0,-3.84,-2.72,0.0,132.0739231109619
60,0.0770271569787849,11.138832320353188,11.159323108032474,0.1495514877785281,5.0,-3.84,-2.56,0.0,248.1980049610138
61,0.0780330477632799,11.13883231800818,10.928879670315933,0.1504501441912371,5.0,-3.84,-2.4,0.0,134.96606492996216
62,0.0790517471683387,11.138832319388346,10.724114404273315,0.1510698162050983,5.0,-3.84,-2.24,0.0,209.61762952804563
63,0.0800596665972179,11.138832303911698,10.423943526778636,0.1500547322880498,5.0,-3.84,-2.08,0.0,176.94969749450684
64,0.0810865228231713,11.138832295655066,10.320374141074014,0.1524976854048482,5.0,-3.84,-1.92,0.0,217.8441879749298
65,0.082089979871032,11.138832303354055,10.120999000563184,0.1533413083076716,5.0,-3.84,-1.7599999999999998,0.0,116.5673999786377
66,1.5418480305011206e-07,3.235270648916754,4.321802406401618,5.316811517191004,5.0,-3.84,-1.6,0.0,91.32072639465332
67,0.084055821423463,11.138832314137922,9.755952555426871,0.1547507827370049,5.0,-3.84,-1.44,0.0,139.6160159111023
68,0.085016344230582,11.138832301886024,9.606183591364934,0.1550848246272892,5.0,-3.84,-1.2799999999999998,0.0,164.23768377304077
69,0.0859542850646307,11.138832307362255,9.448798586391204,0.155660783927962,5.0,-3.84,-1.12,0.0,98.5432460308075
